🥇 Principles,,,,
,Description,Recommended Sets,,
🦍 Strength,Build strength through length,3 x 15 ,,
🏋🏻 Isometrics + PNF,Build active flexibility & active range,3 x 10s,,
🧘🏻 Stretch,Build passive flexibility & passive range,3 x 30s,,
🥷🏻 Skill,Practice kicks to access range,30 reps,,
,,,,
,,,,
🔨 Exercise,Category,What it works,Notes,Links
🦍 Strength,,,,
⭐ Horse stance,🦍 Strength,Side split,"Start with 3-step stance, get to 50% BW, then progress to 5-step",How to gain STRENGTH through LENGTH - YouTube
⭐ Seated Good Mornings,🦍 Strength,Side split,,
⭐ Cossack squat,🦍 Strength,Side split,,
⭐ Jefferson Curl,🦍 Strength,Front split + hamstrings,,
⭐ Copenhagen Lift,🦍 Strength,Side split,,
,,,,
🦾 Accessory,,,,
Weighted butterfly,🦾 Accessory,Side split,,
Weighted side-abductor lift,🦾 Accessory,Side split,,
Banded side leg raise,🦾 Accessory,Side split,,
Banded walks,🦾 Accessory,Side split,,
Hip flexor raise,🦾 Accessory,Front split,"Use an ankle weight, elevated platform and add weight",
Clamshell ,🦾 Accessory,,,
Crab walks,🦾 Accessory,,Targets glutes & hip muscles,
,,,,
🏋🏻 Isometrics + PNF,,,,
Side split holds,🏋🏻 Isometrics + PNF,Side split,"Extend to max range, hold for 8s & contract, relax, use blocks",
Frog pose,🏋🏻 Isometrics + PNF,Side split,"Contract 10s, relax 5s",3 Best PNF Exercises For Middle Splits - YouTube
Pissing dog,🏋🏻 Isometrics + PNF,Side split,"In frog-pose, extend leg out",https://www.youtube.com/watch?v=O9jtFCH58nE&t=509s
Abductor rocks,🏋🏻 Isometrics + PNF,Side split,,
L-lifts,🏋🏻 Isometrics + PNF,Front split,Targets hip flexors,https://www.instagram.com/reel/CfecLr4vGkw/?igshid=YmMyMTA2M2Y=
,,,,
🥋 Kicks,,,,
Kneeling Round Kick,🥋 Kicks,,,https://www.instagram.com/p/C5bQWb0MFtR/
Chamber tucks,🥋 Kicks,,,https://www.instagram.com/p/C5bQWb0MFtR/
Front kick extensions,🥋 Kicks,Teep forward,,https://www.instagram.com/p/C5bQWb0MFtR/
Kneeling windshield wipers,🥋 Kicks,,,https://www.instagram.com/p/C5bQWb0MFtR/
Standing chamber pulses,🥋 Kicks,,,https://www.instagram.com/p/C5bQWb0MFtR/
,,,,
🧘🏻 Stretch,,,,
Frog,🧘🏻 Stretch,,,
Hamstring,🧘🏻 Stretch,,,
Couch,🧘🏻 Stretch,,,
Warrior (hip-flexor),🧘🏻 Stretch,,,
Glute stretches,🧘🏻 Stretch,,,
Side split stretch,🧘🏻 Stretch,,,
Front split stretch,🧘🏻 Stretch,,,
Butterfly,🧘🏻 Stretch,,,
,,,,
,,,,
🦁 Movement,,,,
Clam shell,🦁 Movement,,Targets hip external rotation,
Car 90-90,🦁 Movement,,"Seated, 90-90 position, lift leg and rotate",
Hip airplanes,🦁 Movement,,,
Duck walk,🦁 Movement,,,
1/2 kneeling tootsie rolls,🦁 Movement,https://www.youtube.com/watch?v=bJ8-fklyqwE (:56),,
90-90 switches,🦁 Movement,,,
Internal rotation in 90-sit,🦁 Movement,,,
Lying hip circles,🦁 Movement,,,
Half kneeling cossack hinge,🦁 Movement,,,
Squat to rotation ,🦁 Movement,,,
Sumo/horse squat -> knee twisting knee drop,🦁 Movement,https://www.youtube.com/watch?v=pwjmMdIQdsA,,
,,,,
,,,,
⚓ Sample Split,,,,
Exercise,Category,Reps ,Notes,
⭐ Horse stance,🦍 Strength,3 x 20s hold,Aim to get to 50% BW then go to 5-step,
Weighted side-abductor lift,🦾 Accessory,3 x 8,,
Frog pose ,🏋🏻 Isometrics + PNF,3 x 20s,"Contract, relax method (10s contract, 5s relax, go deeper)",
Side split holds,🏋🏻 Isometrics + PNF,Max range x 8s,"Use a slider for added difficulty, contract, relax method",
,,,,
,,,,
🏎️ Flexibility Benchmarks,,,,
,Link,,,
Pike,https://www.youtube.com/watch?v=I5mBCiDCwt0&t=572s,,,
Side Split,https://www.youtube.com/watch?v=I5mBCiDCwt0&t=572s,,,
Middle Split,https://www.youtube.com/watch?v=I5mBCiDCwt0&t=572s,,,
Pancake,https://www.youtube.com/watch?v=I5mBCiDCwt0&t=572s,,,
Bridge,https://www.youtube.com/watch?v=I5mBCiDCwt0&t=572s,,,
📙 Resources,,,,
,,,,
,Resource Name,Link,Notes,
Tom Merreck,Middle split loaded,https://www.youtube.com/watch?v=OprCe6oi8sU&t=262s,"Example Breakdown
A1. Weighted Tailor Pose (butterfly) - 10r + 30-60s
A2. Weighted Horse Stance Squat - 10r + 10-30s
B1. Weighted Pancake - 10r + 10-30s (Optional)
C1. Side Split Isometric - 20-60s",
Tom Merreck,How to measure flexibility,https://www.youtube.com/watch?v=SKfIYHobqes,"1. Use a protractor app on photos
2. Set targets (e.g. touch toes, palms to toes)",
Tom Merreck,12-min hip mobility workout,https://www.youtube.com/watch?v=jj2AAH6jbHk&t=0s,,
Unity Gym,Middle Split,https://www.youtube.com/watch?v=3wt5W_aEUjs&t=275s,,
Unity Gym,Front Split,https://www.youtube.com/watch?v=PSeSBKIMktE,,
Unity Gym,Beginner Stretching,https://www.youtube.com/watch?v=opFgecVoCnY,,
Julia Reppel,15-min hip mobility ,https://www.youtube.com/watch?v=bJ8-fklyqwE,This is a very good hip-opening mobility warmup,
ATG Mobility Standards,,The 7 ATG Mobility Standards Checklist - YouTube,,
4 ATG Squat solutions,,https://www.youtube.com/watch?v=no0y7YMvXgU,,
Jiu jitsu mobility flow,,https://www.youtube.com/watch?v=oJxp3rCPhfQ,,
Combat mobility flow,,https://www.youtube.com/watch?v=pwjmMdIQdsA,,
Hip strengtheners ,,https://www.youtube.com/watch?v=12NGWxpDlr8,,